Date,R005
20180901,27423.1587
20180902,22980.6829
20180903,23780.8704
20180904,20020.7119
20180905,22211.6769
20180906,14092.9642
20180907,25335.2785
20180908,28377.643
20180909,23623.5174
20180910,28691.11
20180911,23962.8795
20180912,32736.1559
20180913,24768.849
20180914,30318.8256
20180915,32362.68
20180916,23646.4802
20180917,21127.1802
20180918,21480.3778
20180919,24569.2461
20180920,29539.0403
20180921,26849.543
20180922,30538.2112
20180923,20668.6263
20180924,16841.5618
20180925,18575.7075
20180926,19429.5024
20180927,20457.9137
20180928,29044.7206
20180929,26750.01
20180930,21445.5619
20181001,15754.6284
20181002,18146.8483
20181003,16676.1553
20181004,19302.8766
20181005,27261.6344
20181006,32877.0302
20181007,19108.4775
20181008,20797.1932
20181009,17181.5847
20181010,18575.5423
20181011,17114.6787
20181012,28637.8743
20181013,28653.8987
20181014,20607.9153
20181015,15992.186
20181016,17621.1406
20181017,18338.3977
20181018,20496.6118
20181019,28175.8512
20181020,28315.8582
20181021,18687.1762
20181022,14742.4893
20181023,16664.137
20181024,24696.3675
20181025,19236.0532
20181026,29570.9239
20181027,26581.7125
20181028,23486.8557
20181029,15477.0511
20181030,18181.7468
20181031,31881.2459
20181101,23365.8054
20181102,23261.6468
20181103,25201.1774
20181104,21936.9493
20181105,15820.7497
20181106,17191.6206
20181107,21981.4707
20181108,18234.4456
20181109,30142.3094
20181110,27275.4286
20181111,20111.4893
20181112,17153.8724
20181113,20341.1586
20181114,22250.7054
20181115,20683.3291
20181116,28142.9764
20181117,32001.8832
20181118,20281.7279
20181119,15729.6419
20181120,18696.7578
20181121,19366.4786
20181122,23449.6444
20181123,29882.0781
20181124,30297.3496
20181125,22964.4107
20181126,15390.8993
20181127,15395.814
20181128,16823.555
20181129,20293.2919
20181130,32260.7929
20181201,34551.58
20181202,21525.4361
20181203,20448.043
20181204,20172.572
20181205,23760.2617
20181206,21853.2342
20181207,32284.6643
20181208,25445.4669
20181209,22377.2073
20181210,20477.0769
20181211,23281.9664
20181212,25078.1034
20181213,21335.8278
20181214,31113.0659
20181215,35235.0537
20181216,21099.4679
20181217,22054.613
20181218,28393.9565
20181219,21354.7845
20181220,29210.0858
20181221,38506.881
20181222,33703.7736
20181223,28247.135
20181224,7620.1804
20181225,9156.1274
20181226,18694.445
20181227,18685.1112
20181228,24879.12
20181229,25274.4436
20181230,21615.4288
20181231,5797.6114
20190101,24795.0745
20190102,18103.9376
20190103,19405.1354
20190104,25265.275
20190105,27343.8214
20190106,23010.9971
20190107,17983.3003
20190108,18225.277
20190109,19610.1073
20190110,20754.6955
20190111,32675.5688
20190112,32430.412
20190113,27103.2076
20190114,18236.5106
20190115,20689.5654
20190116,19367.8828
20190117,20173.1915
20190118,33364.1637
20190119,32927.9118
20190120,25741.8357
20190121,17170.062
20190122,19379.0338
20190123,17692.8787
20190124,25907.1596
20190125,28714.9401
20190126,35376.2584
20190127,21052.675
20190128,20919.9368
20190129,21570.99
20190130,18308.0835
20190131,18581.8199
20190201,25010.4127
20190202,32275.3718
20190203,25550.4515
20190204,18983.3798
20190205,21383.1989
20190206,22243.9735
20190207,20535.8881
20190208,32028.0261
20190209,29686.9769
20190210,22077.8649
20190211,19197.6029
20190212,20833.6198
20190213,22655.4867
20190214,25314.7937
20190215,34357.6352
20190216,29634.9802
20190217,25697.4795
20190218,20984.8191
20190219,23341.6862
20190220,20800.6624
