,Date,R000,R001,R002,R003,R004,R005,Totale complessivo
243,20180901,50173.718,58917.8366,,17001.8058,46703.5681,27423.1587,200220.0872
244,20180902,43169.7749,48995.3464,,14807.9085,37350.8527,22980.6829,167304.5654
245,20180903,24781.9411,36185.5732,,15593.5584,27135.5042,23780.8704,127477.4473
246,20180904,25100.7771,36402.4808,,15651.2545,25410.8575,20020.7119,122586.0818
247,20180905,23516.6743,33679.4066,,15640.6404,25916.163,22211.6769,120964.5612
248,20180906,25286.4206,37567.306,,15876.2569,26927.3935,14092.9642,119750.3412
249,20180907,33740.1176,41622.8421,,15121.5407,35253.9691,25335.2785,151073.748
250,20180908,43120.9583,54534.3785,,15604.2551,42694.4119,28377.643,184331.6468
251,20180909,33189.506,42430.6701,,14031.3859,37097.312,23623.5174,150372.3914
252,20180910,24600.4276,38455.0908,,14733.7337,29715.4326,28691.11,136195.7947
253,20180911,22109.0051,37990.4245,,17212.3532,29383.2567,23962.8795,130657.919
254,20180912,24504.4877,36964.5325,,16266.2528,28206.8675,32736.1559,138678.2964
255,20180913,20429.4167,39871.5982,,18366.8947,25309.053,24768.849,128745.8116
256,20180914,30030.4277,52439.8903,,20437.5528,34883.4668,30318.8256,168110.1632
257,20180915,47756.3051,59577.8932,,18828.5048,42332.5,32362.68,200857.8831
258,20180916,34824.2839,49121.9309,,16965.9574,34234.4786,23646.4802,158793.131
259,20180917,18185.7529,41496.2576,,17960.8744,25256.7259,21127.1802,124026.791
260,20180918,19944.4308,34121.4405,,15929.2035,23591.8816,21480.3778,115067.3342
261,20180919,20697.8667,33312.4974,,16966.4943,24206.9212,24569.2461,119753.0257
262,20180920,24180.324,38483.0509,,18019.8921,28025.1475,29539.0403,138247.4548
263,20180921,28866.3872,47600.5215,,19833.5816,37750.265,26849.543,160900.2983
264,20180922,44237.256,59328.5651,,20440.4851,44276.3258,30538.2112,198820.8432
265,20180923,41700.8165,49248.7632,,16095.5599,34114.5434,20668.6263,161828.3093
266,20180924,14256.5535,29868.4078,,15353.275,24654.6132,16841.5618,100974.4113
267,20180925,17540.11,30552.914,,15863.4952,22121.8081,18575.7075,104654.0348
268,20180926,14974.8844,35742.8372,,15017.6299,24390.9953,19429.5024,109555.8492
269,20180927,15685.6987,33794.7988,,14563.6603,23874.3736,20457.9137,108376.4451
270,20180928,28288.2698,49167.1544,,19943.6461,35966.6006,29044.7206,162410.3915
271,20180929,46114.8779,61477.0737,,20033.4736,44247.9114,26750.01,198623.3466
272,20180930,33820.2396,46204.5815,,16074.2491,36464.183,21445.5619,154008.8151
273,20181001,15523.6375,30347.5704,,15101.0972,23871.8543,15754.6284,100598.7878
274,20181002,16627.38,31602.0166,,15762.6819,21244.72,18146.8483,103383.6468
275,20181003,14708.582,34999.6437,,15857.2589,25117.008,16676.1553,107358.6479
276,20181004,14978.6427,35051.3513,,15653.7325,24659.7344,19302.8766,109646.3375
277,20181005,27578.901,49468.6031,,18719.6793,35955.6974,27261.6344,158984.5152
278,20181006,46877.2346,59069.9858,,18592.847,42608.797,32877.0302,200025.8946
279,20181007,36216.5482,47247.613,,14648.6557,34090.4655,19108.4775,151311.7599
280,20181008,14180.768,30854.3627,,14870.065,21602.1302,20797.1932,102304.5191
281,20181009,12889.5235,31897.8072,,14447.1117,21484.7969,17181.5847,97900.824
282,20181010,17163.6605,34808.1356,,14307.7242,23097.7271,18575.5423,107952.7897
283,20181011,17848.2906,34426.1106,,15608.8807,27460.9069,17114.6787,112458.8675
284,20181012,28371.861,53619.8313,,21428.1333,34463.3632,28637.8743,166521.0631
285,20181013,45786.0473,67660.5097,,19523.3773,45933.4883,28653.8987,207557.3213
286,20181014,36393.4774,50705.9511,,15147.0641,36520.1032,20607.9153,159374.5111
287,20181015,15452.9732,31674.7459,,16495.6743,22984.4412,15992.186,102600.0206
288,20181016,13483.5414,31438.3447,,14600.0043,23368.8616,17621.1406,100511.8926
289,20181017,14795.3946,36022.8925,,15617.3885,22674.0304,18338.3977,107448.1037
290,20181018,14319.4947,34219.1563,,14937.9622,26137.531,20496.6118,110110.756
291,20181019,28299.6686,51381.2887,,17496.332,35856.8665,28175.8512,161210.007
292,20181020,47465.2227,64825.1408,,20556.4555,46439.4959,28315.8582,207602.1731
293,20181021,33582.4342,51474.9158,,16452.4332,33395.593,18687.1762,153592.5524
294,20181022,15426.1695,30670.9494,,14237.762,22940.6632,14742.4893,98018.0334
295,20181023,12978.938,32853.737,,13671.1673,25425.106,16664.137,101593.0853
296,20181024,16133.8863,34776.8715,,15855.1113,23454.1048,24696.3675,114916.3414
297,20181025,14780.444,33127.8038,,13894.8068,26191.7579,19236.0532,107230.8657
298,20181026,25215.5911,49527.373,,15988.9646,33661.8128,29570.9239,153964.6654
299,20181027,45696.3024,58963.4318,,15979.8786,42571.5031,26581.7125,189792.8284
300,20181028,40173.336,44518.922,,13510.6342,36902.376,23486.8557,158592.1239
301,20181029,11255.6129,28309.1263,,12658.2022,21395.7954,15477.0511,89095.7879
302,20181030,16006.8888,31576.5345,,14640.3131,24630.2049,18181.7468,105035.6881
303,20181031,37868.9612,53065.5027,,19969.7064,41473.2122,31881.2459,184258.6284
304,20181101,39120.2273,52540.2493,,14397.0561,32407.4492,23365.8054,161830.7873
305,20181102,33632.9028,49512.6702,,15983.5956,38419.1598,23261.6468,160809.9752
306,20181103,50738.9911,57958.8919,,15556.7601,41308.3839,25201.1774,190764.2044
307,20181104,39085.6179,47592.1376,,17089.4857,31334.5578,21936.9493,157038.7483
308,20181105,13282.7821,29114.022,,15051.2894,20373.9921,15820.7497,93642.8353
309,20181106,13787.3855,32968.6749,,12509.5222,22818.8695,17191.6206,99276.0727
310,20181107,16150.1585,32757.3015,,14304.5441,21764.4805,21981.4707,106957.9553
311,20181108,17426.0807,35537.2045,,14488.3704,22813.9548,18234.4456,108500.056
312,20181109,24391.4496,49788.0586,,17726.0839,37330.0375,30142.3094,159377.939
313,20181110,45704.8102,66459.8774,,19827.7583,44354.4241,27275.4286,203622.2986
314,20181111,37150.0934,50246.9842,,15163.3363,35736.3531,20111.4893,158408.2563
315,20181112,14014.9898,32472.4554,,14463.8382,21006.5429,17153.8724,99111.6987
316,20181113,13847.7248,38109.6989,,13870.8528,22538.8968,20341.1586,108708.3319
317,20181114,16556.8809,35287.7525,,14595.833,24698.9281,22250.7054,113390.0999
318,20181115,16609.4145,34986.8407,,15307.1016,26197.0856,20683.3291,113783.7715
319,20181116,30500.8347,55063.8445,,21387.3289,39289.1856,28142.9764,174384.1701
320,20181117,48436.2683,65447.3253,,20309.7706,46408.81,32001.8832,212604.0574
321,20181118,41139.4669,51554.2118,,17615.4412,35270.1587,20281.7279,165861.0065
322,20181119,14022.3825,30296.7714,,14315.2821,22499.7444,15729.6419,96863.8223
323,20181120,16850.7304,34636.4102,,15389.619,24885.315,18696.7578,110458.8324
324,20181121,16893.5998,33960.99,,17025.3468,23973.824,19366.4786,111220.2392
325,20181122,15953.9422,36710.9505,,19265.7066,27034.2779,23449.6444,122414.5216
326,20181123,34229.6465,53312.1463,,20365.9386,37623.3914,29882.0781,175413.2009
327,20181124,50841.6629,66806.1779,,21947.9351,49084.5131,30297.3496,218977.6386
328,20181125,42655.7551,54437.7365,,16778.7032,37712.9298,22964.4107,174549.5353
329,20181126,15433.4383,29566.1744,,14047.7407,19756.4332,15390.8993,94194.6859
330,20181127,14479.2844,32714.7212,,14097.755,24011.2418,15395.814,100698.8164
331,20181128,15350.9622,35161.8701,,15098.2062,26933.9189,16823.555,109368.5124
332,20181129,16063.0568,35148.6541,,15755.8261,24520.8838,20293.2919,111781.7127
333,20181130,27795.6434,51903.8989,,16904.8334,38596.0064,32260.7929,167461.175
334,20181201,57001.4753,70014.3206,,22051.2264,48371.4273,34551.58,231990.0296
335,20181202,43292.6011,51518.5699,,15379.4179,37356.2217,21525.4361,169072.2467
336,20181203,17741.4888,30642.2046,,16595.2899,21050.8991,20448.043,106477.9254
337,20181204,16201.164,33324.1027,,14339.0296,23387.1162,20172.572,107423.9845
338,20181205,18659.1335,38734.2375,,16819.7554,26467.6006,23760.2617,124440.9887
339,20181206,17746.2796,41824.3861,,14637.959,25454.016,21853.2342,121515.8749
340,20181207,30375.9022,55209.2618,,20986.6776,34857.8608,32284.6643,173714.3667
341,20181208,53894.2285,63570.7359,,19215.5271,39490.8948,25445.4669,201616.8532
342,20181209,40488.868,52030.0704,,16423.2341,34794.011,22377.2073,166113.3908
343,20181210,17693.4982,36767.8206,,16599.4199,18744.005,20477.0769,110281.8206
344,20181211,20298.4957,33349.9978,,15784.1992,25405.2407,23281.9664,118119.8998
345,20181212,22171.8224,35959.5796,,17694.4481,25511.5882,25078.1034,126415.5417
346,20181213,19377.1753,37647.9649,,15024.3618,22986.4236,21335.8278,116371.7534
347,20181214,29398.6616,50453.8972,,20112.4805,39000.9942,31113.0659,170079.0994
348,20181215,58347.6488,69252.1291,,23278.3733,41974.7594,35235.0537,228087.9643
349,20181216,45289.2083,49375.9672,,15849.6184,37357.8324,21099.4679,168972.0942
350,20181217,19910.1105,35440.4799,,23998.7279,23206.1809,22054.613,124610.1122
351,20181218,21834.484,36038.5039,,24849.1362,27336.2635,28393.9565,138452.3441
352,20181219,20643.9289,38974.6861,,15603.0161,27450.5819,21354.7845,124026.9975
353,20181220,27330.6467,44482.0824,,17629.1528,33464.2749,29210.0858,152116.2426
354,20181221,39741.751,54307.5589,,26203.1567,40568.3705,38506.881,199327.7181
355,20181222,54617.3089,67967.7817,,24688.2727,42791.7147,33703.7736,223768.8516
356,20181223,54765.3281,48940.7065,,17052.1505,34691.0501,28247.135,183696.3702
357,20181224,20792.0307,17049.6725,,17908.1343,13774.7064,7620.1804,77144.7243
358,20181225,9022.5219,23024.5435,,0.0,12647.7533,9156.1274,53850.9461
359,20181226,37116.9295,45902.5546,,0.0,28577.2872,18694.445,130291.2163
360,20181227,31029.5573,43492.7822,,16969.5505,25866.1074,18685.1112,136043.1086
361,20181228,38614.7566,54696.8527,,18452.2205,35063.287,24879.12,171706.2368
362,20181229,51785.5744,59739.2936,,20615.5971,39795.1106,25274.4436,197210.0193
363,20181230,44852.4195,50670.97,,16853.0845,32428.8839,21615.4288,166420.7867
364,20181231,12884.774,17649.8854,,12151.8229,12515.1803,5797.6114,60999.274
365,20190101,30703.3699,65527.7777,,0.0,35877.1035,24795.0745,156903.3256
366,20190102,30648.9365,42477.0913,,18367.6381,27608.637,18103.9376,137206.2405
367,20190103,31904.5391,44872.1609,,12434.4801,27782.0557,19405.1354,136398.3712
368,20190104,33885.7414,54152.8491,,15657.1191,34838.7802,25265.275,163799.7648
369,20190105,59857.4942,68424.188,,18566.1672,40475.7346,27343.8214,214667.4054
370,20190106,42351.7045,49731.0646,,14639.7762,34984.4453,23010.9971,164717.9877
371,20190107,13800.808,29711.1374,,13028.085,20393.2792,17983.3003,94916.6099
372,20190108,13333.4985,27907.4425,,12337.4251,19565.8337,18225.277,91369.4768
373,20190109,16763.1331,33511.1091,,13695.4104,25295.2175,19610.1073,108874.9774
374,20190110,15645.679,35792.8928,,15658.5646,27379.0916,20754.6955,115230.9235
375,20190111,30200.212,53687.522,,16354.1805,34963.754,32675.5688,167881.2373
376,20190112,54824.8414,69094.9826,,19694.731,45157.6265,32430.412,221202.5935
377,20190113,46652.3148,53121.5468,,12930.617,35618.6894,27103.2076,175426.3756
378,20190114,14374.2585,33767.7473,,16345.301,23107.0609,18236.5106,105830.8783
379,20190115,16549.4882,37429.2814,,15529.2956,23702.2765,20689.5654,113899.9071
380,20190116,18290.7375,38148.0666,,14048.8558,24631.8982,19367.8828,114487.4409
381,20190117,17180.387,40118.7374,,16677.5182,27577.4142,20173.1915,121727.2483
382,20190118,27659.8077,58740.8248,,18248.3224,37089.0933,33364.1637,175102.2119
383,20190119,43707.3357,65473.0965,,22630.7893,44348.1052,32927.9118,209087.2385
384,20190120,43359.8788,51778.8838,,17252.9924,37173.4279,25741.8357,175307.0186
385,20190121,14369.0134,33691.3423,,17126.8209,24144.4756,17170.062,106501.7142
386,20190122,14853.0907,30202.0292,,14144.837,21217.2968,19379.0338,99796.2875
387,20190123,8601.5097,32776.5886,,15150.6572,22593.7845,17692.8787,96815.4187
388,20190124,17945.3043,42311.1479,,17293.7555,26954.7754,25907.1596,130412.1427
389,20190125,29744.2187,52504.5661,,19836.2661,34156.5868,28714.9401,164956.5778
390,20190126,51737.9968,66020.8584,,22268.6709,47426.2768,35376.2584,222830.0613
391,20190127,40534.298,46916.4696,,15265.5951,33627.8229,21052.675,157396.8606
392,20190128,15107.6226,33959.8336,,14876.3426,21025.7474,20919.9368,105889.483
393,20190129,15182.8712,30963.5599,,15384.0435,21300.1859,21570.99,104401.6505
394,20190130,13203.8991,30711.506,,14751.947,18994.4895,18308.0835,95969.9251
395,20190131,13651.9215,33497.9757,,14124.5587,24518.2406,18581.8199,104374.5164
396,20190201,20688.0373,52740.2652,,15631.5957,27891.542,25010.4127,141961.8529
397,20190202,48186.2381,66742.1216,,20344.1735,44674.5404,32275.3718,212222.4454
398,20190203,45278.016,51618.8463,,12003.3081,34625.7548,25550.4515,169076.3767
399,20190204,16246.9657,31861.3806,,14212.0734,24609.8853,18983.3798,105913.6848
400,20190205,16196.7036,31048.4314,,14186.0544,22112.9699,21383.1989,104927.3582
401,20190206,17996.888,33797.7724,,15100.2299,26183.7044,22243.9735,115322.5682
402,20190207,14059.346,35976.3061,,13628.7935,25878.3322,20535.8881,110078.6659
403,20190208,25686.948,55249.6945,,16835.7385,37442.3322,32028.0261,167242.7393
404,20190209,48971.6402,58786.5026,,19925.3915,47177.7747,29686.9769,204548.2859
405,20190210,41035.2257,49070.9254,,12926.1979,38310.6647,22077.8649,163420.8786
406,20190211,15557.9991,33746.1474,,16004.1217,21744.863,19197.6029,106250.7341
407,20190212,18111.4955,31106.0036,,15821.3692,23183.1355,20833.6198,109055.6236
408,20190213,18390.3944,37831.6673,,15589.3045,24729.1184,22655.4867,119195.9713
409,20190214,21889.7434,45773.1617,,19529.5723,30683.0503,25314.7937,143190.3214
410,20190215,28858.375,55939.7349,,19003.6994,33893.1754,34357.6352,172052.6199
411,20190216,50039.2865,63202.4638,,20596.4752,43505.7091,29634.9802,206978.9148
412,20190217,42312.0152,54748.2299,,15948.9862,39923.884,25697.4795,178630.5948
413,20190218,14010.1164,33157.7463,,15748.8877,22303.3629,20984.8191,106204.9324
414,20190219,15405.3543,32734.2148,,15250.1489,24831.7076,23341.6862,111563.1118
415,20190220,17032.7395,37338.504,,16856.0168,30223.4226,20800.6624,122251.3453
416,20190221,20018.6056,38315.7859,,16493.0724,30111.9539,27908.7228,132848.1406
417,20190222,30014.8576,56370.7417,,17716.8327,37277.9582,33849.3148,175229.705
418,20190223,50395.4164,66772.7662,,23455.3025,43589.0938,29230.7771,213443.356
419,20190224,38951.7233,55568.324,,16510.7901,36983.0349,26990.4586,175004.3309
420,20190225,15351.1274,34075.391,,16579.6785,22057.1736,20286.3122,108349.6827
421,20190226,15926.932,31380.2769,,14927.9263,23333.6327,20924.2733,106493.0412
422,20190227,17414.145,35335.7018,,17828.3427,27597.5686,21565.7862,119741.5443
423,20190228,19417.6493,39538.1007,,14796.0967,28048.2755,22523.0376,124323.1598
424,20190301,29498.4837,58799.9664,,20410.2535,33333.5604,34990.8881,177033.1521
425,20190302,47950.7455,63689.1017,,21944.755,43405.8457,32893.9632,209884.4111
426,20190303,40296.2861,51156.2863,,16150.778,35090.7928,25216.8714,167911.0146
427,20190304,24728.7467,30781.5921,,15250.4793,26143.726,19292.469,116197.0131
428,20190305,22374.0685,33536.426,,15169.2009,30153.0474,18689.7368,119922.4796
