Date,R000
20180901,1276.0
20180902,1070.0
20180903,657.0
20180904,647.0
20180905,635.0
20180906,652.0
20180907,886.0
20180908,1097.0
20180909,874.0
20180910,627.0
20180911,589.0
20180912,617.0
20180913,576.0
20180914,803.0
20180915,1308.0
20180916,835.0
20180917,521.0
20180918,563.0
20180919,548.0
20180920,711.0
20180921,778.0
20180922,1174.0
20180923,1009.0
20180924,460.0
20180925,502.0
20180926,470.0
20180927,490.0
20180928,835.0
20180929,1202.0
20180930,924.0
20181001,444.0
20181002,486.0
20181003,454.0
20181004,427.0
20181005,770.0
20181006,1292.0
20181007,907.0
20181008,411.0
20181009,406.0
20181010,483.0
20181011,483.0
20181012,772.0
20181013,1220.0
20181014,907.0
20181015,436.0
20181016,398.0
20181017,468.0
20181018,430.0
20181019,762.0
20181020,1291.0
20181021,888.0
20181022,425.0
20181023,404.0
20181024,462.0
20181025,431.0
20181026,654.0
20181027,1227.0
20181028,108.5
20181029,344.0
20181030,446.0
20181031,997.0
20181101,952.0
20181102,863.0
20181103,1364.0
20181104,972.0
20181105,378.0
20181106,378.0
20181107,418.0
20181108,424.0
20181109,660.0
20181110,1156.0
20181111,894.0
20181112,386.0
20181113,415.0
20181114,487.0
20181115,465.0
20181116,767.0
20181117,1225.0
20181118,998.0
20181119,418.0
20181120,464.0
20181121,506.0
20181122,526.0
20181123,904.0
20181124,1391.0
20181125,1075.0
20181126,446.0
20181127,419.0
20181128,444.0
20181129,440.0
20181130,744.0
20181201,1608.0
20181202,1001.0
20181203,513.0
20181204,456.0
20181205,505.0
20181206,563.0
20181207,821.0
20181208,1437.0
20181209,1009.0
20181210,512.0
20181211,523.0
20181212,609.0
20181213,506.0
20181214,784.0
20181215,1424.0
20181216,1076.0
20181217,576.0
20181218,589.0
20181219,600.0
20181220,779.0
20181221,1052.0
20181222,1387.0
20181223,1304.0
20181224,558.0
20181225,254.0
20181226,967.0
20181227,840.0
20181228,993.0
20181229,1319.0
20181230,1091.0
20181231,337.0
20190101,726.0
20190102,760.0
20190103,793.0
20190104,867.0
20190105,1489.0
20190106,1030.0
20190107,390.0
20190108,354.0
20190109,445.0
20190110,436.0
20190111,792.0
20190112,1408.0
20190113,1126.0
20190114,433.0
20190115,453.0
20190116,469.0
20190117,461.0
20190118,764.0
20190119,1140.0
20190120,1030.0
20190121,412.0
20190122,417.0
20190123,261.0
20190124,493.0
20190125,814.0
20190126,1355.0
20190127,1043.0
20190128,460.0
20190129,423.0
20190130,353.0
20190131,364.0
20190201,555.0
20190202,1199.0
20190203,1091.0
20190204,457.0
20190205,443.0
20190206,498.0
