,Date,R000,R001,R002,R003,R004,R005,Totale complessivo
243,20180901,1276.0,1238,,815,1158,774.0,5261.0
244,20180902,1070.0,971,,614,974,664.0,4293.0
245,20180903,657.0,782,,732,808,706.0,3685.0
246,20180904,647.0,793,,763,731,644.0,3578.0
247,20180905,635.0,758,,750,760,691.0,3594.0
248,20180906,652.0,827,,746,741,440.0,3406.0
249,20180907,886.0,953,,717,897,782.0,4235.0
250,20180908,1097.0,1185,,800,1066,817.0,4965.0
251,20180909,874.0,850,,655,921,657.0,3957.0
252,20180910,627.0,850,,745,784,918.0,3924.0
253,20180911,589.0,848,,756,806,768.0,3767.0
254,20180912,617.0,856,,792,804,949.0,4018.0
255,20180913,576.0,898,,856,778,748.0,3856.0
256,20180914,803.0,1162,,871,931,960.0,4727.0
257,20180915,1308.0,1230,,848,1056,950.0,5392.0
258,20180916,835.0,992,,699,940,680.0,4146.0
259,20180917,521.0,869,,851,724,667.0,3632.0
260,20180918,563.0,761,,767,674,706.0,3471.0
261,20180919,548.0,759,,823,694,752.0,3576.0
262,20180920,711.0,965,,901,928,1075.0,4580.0
263,20180921,778.0,1089,,929,1066,900.0,4762.0
264,20180922,1174.0,1227,,880,1138,912.0,5331.0
265,20180923,1009.0,1039,,694,926,604.0,4272.0
266,20180924,460.0,699,,836,749,639.0,3383.0
267,20180925,502.0,713,,892,759,737.0,3603.0
268,20180926,470.0,845,,856,742,723.0,3636.0
269,20180927,490.0,778,,864,790,652.0,3574.0
270,20180928,835.0,1112,,1020,1083,986.0,5036.0
271,20180929,1202.0,1321,,971,1263,915.0,5672.0
272,20180930,924.0,935,,816,955,712.0,4342.0
273,20181001,444.0,671,,770,707,544.0,3136.0
274,20181002,486.0,711,,834,675,561.0,3267.0
275,20181003,454.0,753,,829,723,608.0,3367.0
276,20181004,427.0,792,,772,714,647.0,3352.0
277,20181005,770.0,1122,,859,993,849.0,4593.0
278,20181006,1292.0,1250,,895,1098,929.0,5464.0
279,20181007,907.0,959,,629,864,570.0,3929.0
280,20181008,411.0,731,,775,673,649.0,3239.0
281,20181009,406.0,736,,774,633,565.0,3114.0
282,20181010,483.0,762,,735,684,567.0,3231.0
283,20181011,483.0,763,,782,773,535.0,3336.0
284,20181012,772.0,1176,,953,987,852.0,4740.0
285,20181013,1220.0,1351,,920,1195,849.0,5535.0
286,20181014,907.0,945,,648,919,556.0,3975.0
287,20181015,436.0,716,,836,657,520.0,3165.0
288,20181016,398.0,730,,743,700,581.0,3152.0
289,20181017,468.0,795,,799,671,556.0,3289.0
290,20181018,430.0,761,,756,737,635.0,3319.0
291,20181019,762.0,1158,,810,975,885.0,4590.0
292,20181020,1291.0,1358,,889,1206,844.0,5588.0
293,20181021,888.0,984,,667,842,529.0,3910.0
294,20181022,425.0,710,,748,672,498.0,3053.0
295,20181023,404.0,771,,732,696,520.0,3123.0
296,20181024,462.0,756,,779,712,759.0,3468.0
297,20181025,431.0,722,,693,755,630.0,3231.0
298,20181026,654.0,1124,,765,955,914.0,4412.0
299,20181027,1227.0,1007,,751,1114,753.0,4852.0
300,20181028,108.5,857,,596,919,617.0,3097.5
301,20181029,344.0,630,,701,606,487.0,2768.0
302,20181030,446.0,697,,755,684,580.0,3162.0
303,20181031,997.0,1111,,894,1153,852.0,5007.0
304,20181101,952.0,1042,,620,812,655.0,4081.0
305,20181102,863.0,1092,,685,1013,711.0,4364.0
306,20181103,1364.0,1236,,787,1051,754.0,5192.0
307,20181104,972.0,935,,708,822,634.0,4071.0
308,20181105,378.0,633,,799,583,536.0,2929.0
309,20181106,378.0,710,,690,618,528.0,2924.0
310,20181107,418.0,735,,747,617,630.0,3147.0
311,20181108,424.0,785,,748,664,564.0,3185.0
312,20181109,660.0,1106,,833,1055,864.0,4518.0
313,20181110,1156.0,1395,,891,1176,748.0,5366.0
314,20181111,894.0,1008,,628,898,562.0,3990.0
315,20181112,386.0,728,,719,611,564.0,3008.0
316,20181113,415.0,824,,730,654,604.0,3227.0
317,20181114,487.0,808,,741,688,676.0,3400.0
318,20181115,465.0,768,,760,704,592.0,3289.0
319,20181116,767.0,1161,,956,999,796.0,4679.0
320,20181117,1225.0,1321,,920,1162,867.0,5495.0
321,20181118,998.0,925,,663,902,544.0,4032.0
322,20181119,418.0,698,,866,683,542.0,3207.0
323,20181120,464.0,756,,837,734,637.0,3428.0
324,20181121,506.0,778,,904,741,692.0,3621.0
325,20181122,526.0,822,,902,806,760.0,3816.0
326,20181123,904.0,1112,,980,1052,979.0,5027.0
327,20181124,1391.0,1372,,1057,1269,936.0,6025.0
328,20181125,1075.0,1031,,741,975,690.0,4512.0
329,20181126,446.0,627,,765,597,489.0,2924.0
330,20181127,419.0,724,,748,675,521.0,3087.0
331,20181128,444.0,754,,734,718,526.0,3176.0
332,20181129,440.0,738,,782,652,645.0,3257.0
333,20181130,744.0,1138,,834,1001,956.0,4673.0
334,20181201,1608.0,1510,,1023,1285,1123.0,6549.0
335,20181202,1001.0,968,,673,921,606.0,4169.0
336,20181203,513.0,703,,806,619,653.0,3294.0
337,20181204,456.0,794,,787,686,676.0,3399.0
338,20181205,505.0,830,,763,758,712.0,3568.0
339,20181206,563.0,995,,798,746,785.0,3887.0
340,20181207,821.0,1224,,985,981,1048.0,5059.0
341,20181208,1437.0,1266,,817,1062,781.0,5363.0
342,20181209,1009.0,980,,614,806,630.0,4039.0
343,20181210,512.0,835,,843,556,720.0,3466.0
344,20181211,523.0,750,,777,687,673.0,3410.0
345,20181212,609.0,813,,898,729,880.0,3929.0
346,20181213,506.0,810,,783,676,673.0,3448.0
347,20181214,784.0,1129,,950,1052,942.0,4857.0
348,20181215,1424.0,1368,,978,1090,936.0,5796.0
349,20181216,1076.0,911,,646,924,577.0,4134.0
350,20181217,576.0,762,,1015,648,704.0,3705.0
351,20181218,589.0,821,,1048,775,853.0,4086.0
352,20181219,600.0,853,,760,805,672.0,3690.0
353,20181220,779.0,989,,911,934,955.0,4568.0
354,20181221,1052.0,1158,,1058,1061,1071.0,5400.0
355,20181222,1387.0,1341,,1016,1036,936.0,5716.0
356,20181223,1304.0,951,,623,841,715.0,4434.0
357,20181224,558.0,298,,760,364,204.0,2184.0
358,20181225,254.0,488,,0,324,261.0,1327.0
359,20181226,967.0,898,,0,742,533.0,3140.0
360,20181227,840.0,870,,716,745,549.0,3720.0
361,20181228,993.0,1128,,744,890,734.0,4489.0
362,20181229,1319.0,1178,,834,1046,700.0,5077.0
363,20181230,1091.0,942,,652,770,550.0,4005.0
364,20181231,337.0,315,,546,353,173.0,1724.0
365,20190101,726.0,1134,,0,723,602.0,3185.0
366,20190102,760.0,819,,756,743,549.0,3627.0
367,20190103,793.0,903,,636,771,559.0,3662.0
368,20190104,867.0,1094,,678,913,763.0,4315.0
369,20190105,1489.0,1313,,809,1041,741.0,5393.0
370,20190106,1030.0,895,,567,804,589.0,3885.0
371,20190107,390.0,652,,678,590,508.0,2818.0
372,20190108,354.0,594,,649,587,530.0,2714.0
373,20190109,445.0,715,,684,683,575.0,3102.0
374,20190110,436.0,793,,742,734,648.0,3353.0
375,20190111,792.0,1142,,759,941,931.0,4565.0
376,20190112,1408.0,1313,,882,1166,850.0,5619.0
377,20190113,1126.0,961,,561,878,706.0,4232.0
378,20190114,433.0,720,,801,632,541.0,3127.0
379,20190115,453.0,811,,729,674,609.0,3276.0
380,20190116,469.0,794,,708,672,647.0,3290.0
381,20190117,461.0,833,,743,767,635.0,3439.0
382,20190118,764.0,1231,,821,957,976.0,4749.0
383,20190119,1140.0,1299,,953,1140,902.0,5434.0
384,20190120,1030.0,926,,635,904,664.0,4159.0
385,20190121,412.0,656,,853,663,535.0,3119.0
386,20190122,417.0,676,,751,575,623.0,3042.0
387,20190123,261.0,677,,722,614,558.0,2832.0
388,20190124,493.0,914,,798,747,779.0,3731.0
389,20190125,814.0,1141,,880,909,863.0,4607.0
390,20190126,1355.0,1322,,932,1196,918.0,5723.0
391,20190127,1043.0,873,,616,840,615.0,3987.0
392,20190128,460.0,708,,752,626,651.0,3197.0
393,20190129,423.0,678,,721,648,663.0,3133.0
394,20190130,353.0,679,,675,562,537.0,2806.0
395,20190131,364.0,700,,708,656,565.0,2993.0
396,20190201,555.0,1032,,762,735,687.0,3771.0
397,20190202,1199.0,1322,,893,1155,899.0,5468.0
398,20190203,1091.0,967,,518,1027,698.0,4301.0
399,20190204,457.0,709,,767,720,601.0,3254.0
400,20190205,443.0,686,,753,667,680.0,3229.0
401,20190206,498.0,734,,717,744,671.0,3364.0
402,20190207,383.0,753,,706,743,596.0,3181.0
